Start Time,End Time,Trip Duration,Start Station,End Station,Gender,Year
2017-06-21 08:36:34,2017-06-21 08:44:43,489.066,SJT,L - Block,Male,4
2017-03-11 10:40:00,2017-03-11 10:46:00,402.549,SJT,K - Block,Female,1
2017-05-30 01:02:59,2017-05-30 01:13:37,637.251,G - Block,SMV,Male,1
2017-04-02 07:48:35,2017-04-02 08:19:03,1827.341,F - Block,TT,Male,1
2017-06-10 08:36:28,2017-06-10 09:02:17,1549.427,SJT,TT,Male,1
2017-05-14 07:18:18,2017-05-14 07:24:56,398,L - Block,TT,Male,2
2017-06-19 08:41:43,2017-06-19 09:00:08,1105.429,A - Block,SJT,Female,1
2017-06-20 05:54:42,2017-06-20 06:05:18,636.218,TT,SJT,Male,2
2017-03-24 20:37:00,2017-03-24 20:42:00,328.53,SMV,D - Block,Male,1
2017-02-20 21:12:00,2017-02-20 21:31:00,1188.09,GDN,SJT,Male,2
2017-04-17 02:50:51,2017-04-17 03:05:17,866.689,SJT,GDN,Female,2
2017-04-08 01:12:48,2017-04-08 01:52:33,2385.411,SJT,GDN,Male,2
2017-01-26 20:01:00,2017-01-26 20:17:00,951.457,TT,D - Block,Male,2
2017-01-06 17:36:00,2017-01-06 17:43:00,448.628,TT,MB,Male,2
2017-05-28 03:50:26,2017-05-28 04:24:26,2039.472,GDN,MB,Male,3
2017-06-19 07:46:35,2017-06-19 07:55:00,505.482,SJT,MB,Female,2
2017-05-13 11:29:16,2017-05-13 11:55:47,1591.326,TT,F - Block,Male,2
2017-06-10 06:04:41,2017-06-10 06:32:33,1672.075,SMV,Foodies,Male,3
2017-04-03 10:22:19,2017-04-03 10:26:11,231.952,SMV,Foodies,Male,2
2017-06-03 11:42:54,2017-06-03 12:21:05,2291.454,E - Block,Foodies,Male,3
2017-04-09 11:05:42,2017-04-09 11:26:44,1261.363,B - Block,Foodies,Female,2
2017-04-18 05:42:04,2017-04-18 06:31:28,2964.818,D - Block,SJT,Male,3
2017-05-15 07:35:21,2017-05-15 07:49:06,825.59,A - Block,SJT,Male,3
2017-02-19 00:43:00,2017-02-19 00:46:00,226.006,K - Block,G - Block,Female,3
2017-05-16 07:34:43,2017-05-16 07:50:04,920.84,B - Block,F - Block,Male,3
2017-05-15 05:39:22,2017-05-15 06:02:14,1371.512,G - Block,SJT,Male,3
2017-04-05 01:36:31,2017-04-05 01:40:45,254.076,E - Block,L - Block,Female,2
2017-02-08 09:17:00,2017-02-08 09:31:00,834.78,TT,A - Block,Male,2
2017-04-02 12:11:35,2017-04-02 02:15:22,7427.749,SMV,TT,Male,2
2017-05-02 11:49:43,2017-05-02 12:09:09,1165.698,SJT,SMV,Male,1
2017-02-18 15:55:00,2017-02-18 16:22:00,1608.894,TT,GDN,Male,1
2017-01-01 14:40:00,2017-01-01 14:44:00,252.871,MB,SJT,Male,1
2017-06-29 12:45:40,2017-06-29 01:39:39,3238.239,MB,SJT,Female,1
2017-04-25 07:43:56,2017-04-25 08:02:38,1122.602,MB,TT,Male,4
2017-04-27 08:01:58,2017-04-27 08:15:00,782.782,MB,TT,Female,4
2017-01-09 12:29:00,2017-01-09 12:48:00,1138.896,MB,GDN,Female,4
2017-01-25 15:57:00,2017-01-25 18:10:00,7954.191,Library,SJT,Female,1
2017-02-28 15:53:00,2017-02-28 16:08:00,888.153,Library,TT,Male,1
2017-03-25 14:16:00,2017-03-25 14:35:00,1127.911,Library,SMV,Male,2
2017-06-01 05:49:59,2017-06-01 05:59:53,593.622,Library,SMV,Male,4
2017-06-25 12:57:31,2017-06-25 02:10:06,4355.38,Library,E - Block,Male,4
2017-03-01 10:13:00,2017-03-01 10:17:00,270.335,SMV,B - Block,Male,4
2017-04-16 06:55:41,2017-04-16 06:57:40,118.354,SJT,G - Block,Male,3
2017-05-12 02:15:53,2017-05-12 02:33:15,1042.119,SJT,G - Block,Male,3
