Start Time,End Time,Trip Duration,Start Station,End Station,Gender,Year
2017-06-23 15:09:32,2017-06-23 15:14:53,321,SJT,L - Block,Male,4
2017-05-25 18:19:03,2017-05-25 18:45:53,1610,SJT,K - Block,Female,1
2017-01-04 08:27:49,2017-01-04 08:34:45,416,G - Block,SMV,Male,1
2017-03-06 13:49:38,2017-03-06 13:55:28,350,F - Block,TT,Male,1
2017-01-17 14:53:07,2017-01-17 15:02:01,534,SJT,TT,Male,1
2017-06-26 09:01:20,2017-06-26 09:11:06,586,L - Block,TT,Male,2
2017-05-26 09:41:44,2017-05-26 09:46:25,281,A - Block,SJT,Female,1
2017-01-21 14:28:38,2017-01-21 14:40:41,723,TT,D - Block,Male,2
2017-04-20 16:08:51,2017-04-20 16:20:20,689,SMV,SJT,Male,1
2017-02-06 18:00:47,2017-02-06 18:09:00,493,GDN,SJT,Male,2
2017-02-15 07:09:55,2017-02-15 07:14:56,301,SJT,GDN,Female,2
2017-01-22 15:15:45,2017-01-22 15:31:02,917,SJT,GDN,Male,2
2017-01-08 16:03:00,2017-01-08 16:07:37,277,TT,GDN,Male,2
2017-05-30 15:46:18,2017-05-30 15:52:12,354,TT,MB,Male,2
2017-04-20 19:26:33,2017-04-20 19:35:08,515,GDN,D - Block,Male,3
2017-05-25 22:59:33,2017-05-25 23:07:19,466,SJT,MB,Female,2
2017-05-03 13:20:38,2017-05-03 13:31:13,635,TT,F - Block,Male,2
2017-05-23 08:08:25,2017-05-23 08:11:09,164,SMV,Foodies,Male,3
2017-06-25 21:26:30,2017-06-25 21:33:44,434,SMV,Foodies,Male,2
2017-04-08 11:37:55,2017-04-08 11:51:55,840,E - Block,Foodies,Male,3
2017-05-16 06:36:17,2017-05-16 06:59:34,1397,B - Block,Foodies,Female,2
2017-06-23 12:21:01,2017-06-23 12:32:54,713,D - Block,SJT,Male,3
2017-02-12 15:24:29,2017-02-12 15:38:43,854,A - Block,SJT,Male,3
2017-06-22 19:14:37,2017-06-22 19:29:54,917,K - Block,G - Block,Female,3
2017-05-03 09:41:11,2017-05-03 09:49:10,479,B - Block,F - Block,Male,3
2017-06-24 20:47:40,2017-06-24 21:13:39,1559,G - Block,SJT,Male,3
2017-03-23 09:38:27,2017-03-23 09:42:41,254,E - Block,L - Block,Female,2
2017-06-09 07:48:55,2017-06-09 07:52:30,215,TT,A - Block,Male,2
2017-04-11 18:49:57,2017-04-11 18:59:36,579,SMV,TT,Male,2
2017-02-25 19:01:19,2017-02-25 19:08:10,411,SJT,SMV,Male,1
2017-05-25 16:06:09,2017-05-25 16:12:49,400,TT,GDN,Male,1
2017-06-30 10:56:50,2017-06-30 11:40:20,2610,MB,SJT,Male,1
2017-06-19 17:43:17,2017-06-19 17:59:35,978,MB,SJT,Female,1
2017-06-09 09:08:19,2017-06-09 09:15:09,410,MB,TT,Male,4
2017-03-23 20:50:57,2017-03-23 20:57:19,382,MB,TT,Female,4
2017-02-22 15:33:56,2017-02-22 15:54:07,1211,MB,GDN,Female,4
2017-02-13 14:17:25,2017-02-13 14:22:52,327,Library,SJT,Female,1
2017-03-24 15:35:55,2017-03-24 15:46:10,615,Library,TT,Male,1
2017-05-03 16:27:08,2017-05-03 16:45:15,1087,Library,SMV,Male,2
2017-01-26 19:45:41,2017-01-26 19:59:31,830,Library,SMV,Male,4
2017-06-16 19:34:44,2017-06-16 20:16:23,2499,Library,E - Block,Male,4
2017-04-20 07:47:23,2017-04-20 08:03:35,972,SMV,B - Block,Male,4
2017-05-13 14:39:17,2017-05-13 14:40:40,83,SJT,G - Block,Male,3
2017-05-22 05:49:43,2017-05-22 05:51:15,92,SJT,G - Block,Male,3
2017-06-20 16:14:15,2017-06-20 16:42:26,1691,SJT,G - Block,Male,3
2017-06-17 10:41:19,2017-06-17 10:55:32,853,SMV,F - Block,Male,2
2017-04-06 14:58:44,2017-04-06 15:04:26,342,TT,SJT,Male,2
2017-03-20 21:27:24,2017-03-20 21:39:02,698,TT,L - Block,Male,2
2017-05-21 10:03:55,2017-05-21 10:18:17,862,GDN,A - Block,Male,2
2017-02-08 07:13:31,2017-02-08 07:16:17,166,Foodies,TT,Male,2
2017-04-22 19:12:25,2017-04-22 19:15:41,196,Foodies,SMV,Male,2
2017-05-04 05:46:01,2017-05-04 06:07:56,1315,Foodies,GDN,Male,2
2017-02-11 15:11:34,2017-02-11 16:30:04,4710,F - Block,SJT,Female,1
2017-05-26 07:31:20,2017-05-26 07:38:57,457,Foodies,SJT,Female,1
2017-05-01 08:35:17,2017-05-01 08:49:02,825,Foodies,TT,Male,1
2017-02-22 07:51:44,2017-02-22 08:00:14,510,G - Block,TT,Male,1
2017-06-29 13:50:47,2017-06-29 14:10:04,1157,SJT,GDN,Female,1
2017-04-29 09:46:00,2017-04-29 10:14:37,1717,SJT,TT,Female,2
2017-02-27 07:20:11,2017-02-27 07:31:01,650,SJT,TT,Male,2
